ID,FAM_ID,FAM_ID2,SUBJ_ID,IMMGROUP,SEX,RELATION,IMM_YR,AGE,HD_LNG,HD_WDT,BIZYG,STATURE,CEPHALIC,WFI,EYECOLOR,HAIRCOL,GENERAT,USBORN,PAGE_NUM
187,89,89_7,321,1,1,F,1904,43,194,145,140,171,74.74,96.55,2,3,0,0,7
188,89,89_7,322,1,0,M,1906,30,186,144,135,166,77.42,93.75,2,3,0,0,7
189,89,89_7,324,1,1,S,1906,8,183,140,120,125,76.5,85.71,2,3,1,0,7
190,89,89_7,323,1,0,D,1906,10,174,138,121,132.3,79.31,87.68,2,3,1,0,7
191,89,89_7,325,1,0,D,1906,6,176,144,121,118.5,81.82,84.03,3,3,1,0,7
192,1091,1091_7,4371,1,1,F,1898,37,194,144,137,164,74.23,95.14,2,2,0,0,7
193,1091,1091_7,4372,1,0,M,1898,31,179,136,122,154,75.98,89.71,2,3,0,0,7
194,1091,1091_7,4370,1,1,S,1898,12,183,143,116,135,78.14,81.12,2,2,1,0,7
195,1091,1091_7,4369,1,1,S,-999,5,168,133,107,105,79.17,80.45,2,7,1,1,7
196,1091,1091_7,4368,1,0,D,-999,8,174,140,111,112,80.46,79.29,2,4,1,1,7
197,246,246_7,933,1,1,F,1892,57,196,146,145,161,74.49,99.32,2,0,0,0,7
198,246,246_7,934,1,0,M,1896,47,176,143,132,150.5,81.25,92.31,2,3,0,0,7
199,246,246_7,937,1,1,S,-999,5,170,135,122,100,79.41,90.37,2,8,1,1,7
200,246,246_7,935,1,0,D,-999,11,167,135,120,133,80.84,88.89,2,4,1,1,7
201,246,246_7,936,1,0,D,-999,8,162,138,115,109,85.19,83.33,5,8,1,1,7
202,109,109_7,843,1,1,F,1902,37,198,147,139,166.5,74.24,94.56,2,3,0,0,7
203,109,109_7,844,1,0,M,1906,35,168,143,134,151.3,85.12,93.71,2,3,0,0,7
204,109,109_7,845,1,0,D,1906,13,175,144,128,147,82.29,88.89,2,5,1,0,7
205,109,109_7,846,1,0,D,1906,11,179,138,121,125.5,77.09,87.68,2,6,1,0,7
206,109,109_7,847,1,0,D,1906,9,179,.,124,123.5,.,.,2,5,1,0,7
207,424,424_7,1713,1,1,F,1889,44,192,145,134,160,75.52,92.41,2,1,0,0,7
208,424,424_7,1717,1,0,M,1893,42,175,135,126,153,77.14,93.33,2,5,0,0,7
209,424,424_7,1716,1,1,S,-999,14,.,141,113,137,.,80.14,2,3,1,1,7
210,424,424_7,1715,1,1,S,-999,10,173,147,116,153,84.97,78.91,2,4,1,1,7
211,424,424_7,1714,1,0,D,-999,15,163,136,118,147,83.44,86.76,2,4,1,1,7
212,44,44_7,591,1,1,F,1906,53,203,154,144,175,75.86,93.51,3,0,0,0,7
213,44,44_7,592,1,0,M,1907,46,177,142,135,145.5,80.23,95.07,3,0,0,0,7
214,44,44_7,593,1,0,D,1907,17,177,144,130,162,81.36,90.28,3,4,1,0,7
215,44,44_7,594,1,0,D,1907,15,188,146,133,154,77.66,91.1,1,4,1,0,7
216,44,44_7,595,1,0,D,1907,11,176,139,126,140,78.98,90.65,2,7,1,0,7
217,93,93_8,370,1,1,F,1905,52,202,152,135,175,75.25,88.82,2,0,0,0,8
218,93,93_8,371,1,0,M,1906,55,185,153,134,152,82.7,87.58,2,0,0,0,8
219,93,93_8,374,1,1,S,1906,13,186,146,120,146,78.49,82.19,2,6,1,0,8
220,93,93_8,372,1,0,D,1906,22,182,145,128,158.5,79.67,88.28,2,4,1,0,8
221,93,93_8,373,1,0,D,1906,19,193,144,128,160.5,74.61,88.89,2,6,1,0,8
222,10,10_8,450,1,1,F,1900,41,204,155,146,166.3,75.98,94.19,3,2,0,0,8
223,10,10_8,451,1,0,M,1902,42,185,141,127,156.3,76.22,90.07,2,3,0,0,8
224,10,10_8,454,1,1,S,1903,8,181,142,120,118,78.45,84.51,2,12,1,0,8
225,10,10_8,452,1,0,D,1903,13,187,148,131,151.5,79.14,88.51,2,6,1,0,8
226,10,10_8,453,1,0,D,1903,11,185,143,121,131.5,77.3,84.62,2,5,1,0,8
227,324,324_8,1257,1,1,F,1906,53,197,151,136,159,76.65,90.07,2,0,0,0,8
228,324,324_8,1258,1,0,M,1906,52,190,145,139,149.5,76.32,95.86,2,0,0,0,8
229,324,324_8,1259,1,1,S,1906,21,195,147,133,157,75.38,90.48,1,5,1,0,8
230,324,324_8,1260,1,1,S,1906,16,203,147,133,159,72.41,90.48,2,6,1,0,8
231,324,324_8,1261,1,1,S,1906,13,198,148,127,158,74.75,85.81,2,7,1,0,8
232,357,357_8,1418,1,1,F,1906,39,194,148,137,170,76.29,92.57,2,2,0,0,8
233,357,357_8,1419,1,0,M,1906,39,185,145,127,148,78.38,87.59,2,1,0,0,8
234,357,357_8,1420,1,1,S,1906,9,180,143,118,123,79.44,82.52,2,7,1,0,8
235,357,357_8,1421,1,0,D,1906,7,175,137,112,111,78.29,81.75,2,3,1,0,8
236,357,357_8,1422,1,0,D,1906,5,170,135,111,100,79.41,82.22,2,8,1,0,8
237,28,28_8,102,1,1,F,1899,36,192,147,133,164,76.56,90.48,2,2,0,0,8
238,28,28_8,103,1,0,M,1908,31,173,138,129,152,79.77,93.48,2,2,0,0,8
239,28,28_8,104,1,0,D,1908,15,176,146,125,150,82.95,85.62,2,4,1,0,8
240,28,28_8,105,1,0,D,1908,8,168,134,113,118,79.76,84.33,2,6,1,0,8
241,28,28_8,106,1,0,D,1908,6,165,132,106,102,80,80.3,2,6,1,0,8
242,219,219_9,838,1,1,F,1887,48,199,153,148,177,76.88,96.73,2,2,0,0,9
243,219,219_9,839,1,0,M,1891,45,183,146,130,154,79.78,89.04,2,0,0,0,9
244,219,219_9,841,1,1,S,-999,18,184,153,132,161.5,83.15,86.27,2,3,1,1,9
245,219,219_9,843,1,1,S,-999,6,178,148,124,117.5,83.15,83.78,2,5,1,1,9
246,219,219_9,840,1,0,D,1891,21,182,152,142,164.2,83.52,93.42,2,1.5,1,0,9
247,344,344_9,1334,1,1,F,1889,47,195,149,134,161,76.41,89.93,2,0,0,0,9
248,344,344_9,1335,1,0,M,1889,37,180,145,128,151,80.56,88.28,5,3,0,0,9
249,344,344_9,1336,1,0,D,-999,14,186,146,126,155,78.49,86.3,5,3,1,1,9
250,344,344_9,1337,1,0,D,-999,9,174,143,112,120,82.18,78.32,2,16,1,1,9
251,344,344_9,1338,1,0,D,-999,6,173,138,110,104,79.77,79.71,5,14,1,1,9
252,73,73_9,333,1,1,F,1905,40,188,145,130,163.5,77.13,89.66,2,3,0,0,9
253,73,73_9,334,1,0,M,1906,31,190,149,132,158,78.42,88.59,2,3,0,0,9
254,73,73_9,330,1,1,S,1906,7,173,144,118,121,83.24,81.94,2,11,1,0,9
255,73,73_9,332,1,0,D,1906,15,176,141,121,149,80.11,85.82,5,5,1,0,9
256,73,73_9,331,1,0,D,1906,10,172,139,112,126,80.81,80.58,2,11,1,0,9
257,27,27_9,97,1,1,F,1889,53,193,150,147,160,77.72,98,2,Gr.-Br.,0,0,9
258,27,27_9,98,1,0,M,1889,46,184,146,130,151,79.35,89.04,2,l-Br,0,0,9
259,27,27_9,99,1,1,S,1889,22,190,147,133,160,77.37,90.48,2,l-Br,1,0,9
260,27,27_9,100,1,1,S,-999,14,183,147,128,152,80.33,87.07,2,Br.,1,1,9
261,27,27_9,101,1,0,D,-999,12,170,147,118,140,86.47,80.27,2,Br.,1,1,9
262,69,69_9,268,1,1,F,1900,53,202,157,143,174,77.72,91.08,5,0,0,0,9
263,69,69_9,269,1,0,M,1900,54,180,143,132,158,79.44,92.31,2,0,0,0,9
264,69,69_9,270,1,0,D,1900,18,198,154,139,160,77.78,90.26,3,2,1,0,9
265,69,69_9,271,1,0,D,1900,15,183,145,132,153.5,79.23,91.03,3,3,1,0,9
266,69,69_9,272,1,0,D,1900,12,180,144,130,147,80,90.28,3,3.5,1,0,9
267,410,410_9,2301,1,1,F,1898,43,187,145,132,162,77.54,91.03,2,0,0,0,9
268,410,410_9,2298,1,0,M,1900,.,178,143,140,150,80.34,97.9,2,4,0,0,9
269,410,410_9,2297,1,0,D,1902,12,174,141,121,135,81.03,85.82,3,6,1,0,9
270,410,410_9,2296,1,0,D,-999,8.5,165,140,113,115.5,84.85,80.71,2,9,1,1,9
271,410,410_9,2300,1,0,D,-999,4,165,139,117,102,84.24,84.17,2,4,1,1,9
272,206,206_10,776,1,1,F,1901,45,191,148,143,170,77.49,96.62,1,7,0,0,10
273,206,206_10,777,1,0,M,1901,36,180,145,127,146,80.56,87.59,2,3,0,0,10
274,206,206_10,779,1,1,S,1901,15,180,142,125,138,78.89,88.03,1,11,1,0,10
275,206,206_10,780,1,1,S,1901,10,178,137,119,130.5,76.97,86.86,1,12,1,0,10
