code	sex	shell.h	shell.w	aperture.h	aperture.w	whorl.w	rib.n	band.u	band.m	band.l	band.u.l	band.m.l	band.l.l	locality	image	country	canton	locality	altitude	coordinates.DD	depository	date of collecting	collector
003m22 	male	7271	3994	2638	2620	3193	33	1	1	2	1	1	1	3	m105	Switzerland	Bern	Orvin	833	47.15439027N 7.19399571E	NMBE 30981	05/04/2011	Fabian Reichenbach
004f01	female	7831	3948	2647	2708	3360	33	1	1	1	1	1	1	4	f140	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f02	female	7863	4207	2712	2694	3416	30	1	1	1	1	1	1	4	f141	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f03	female	7775	3952	2721	2573	3291	32	1	1	2	1	1	2	4	f142	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f04	female	7715	4068	2689	2430	3300	29	1	1	1	1	1	2	4	f143	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f05	female	7493	3892	2731	2578	3175	33	1	1	1	1	1	1	4	f144	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f06	female	7243	4008	2689	2786	3110	32	1	1	1	1	1	1	4	f145	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f07	female	8187	4207	2953	2902	3490	33	1	1	1	1	1	1	4	f146	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f08	female	7850	4119	2721	2680	3499	35	1	1	1	1	1	1	4	f147	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f09	female	8086	4128	2819	2680	3291	34	1	1	2	1	1	1	4	f148	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f10	female	8211	3906	2647	2541	3277	31	1	1	1	1	1	1	4	f149	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f11	female	7799	3929	2564	2499	3351	30	1	1	1	1	1	1	4	f150	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f12	female	7683	3962	2721	2666	3272	31	1	1	1	1	1	1	4	f151	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f13	female	7428	3952	2541	2527	3258	34	1	1	1	1	1	1	4	f152	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f14	female	7715	3994	2754	2657	3291	36	1	1	1	1	1	0	4	f153	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f15	female	7780	3994	2647	2680	3383	33	1	1	0	1	1	0	4	f154	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f16	female	7567	3869	2583	2365	3249	34	1	1	2	1	1	2	4	f155	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f17	female	7891	3943	2573	2564	3207	26	1	1	0	1	1	1	4	f156	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f18	female	7526	3804	2638	2522	3217	32	1	1	1	1	1	1	4	f157	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004f19	female	7664	3888	2555	2541	3249	33	1	1	0	1	1	1	4	f158	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m01 	male	7003	3962	2564	2439	3268	34	1	1	1	1	1	1	4	m123	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m02 	male	7368	4077	2860	2712	3156	36	1	1	2	1	1	2	4	m124	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m03 	male	7276	3837	2504	2300	3143	30	1	1	2	1	1	1	4	m125	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m04	male	7276	3814	2546	2374	3161	32	1	1	1	1	1	1	4	m126	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m05	male	6989	3633	2189	2161	3277	35	1	1	2	1	1	1	4	m127	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m06	male	7104	3814	2763	2680	3087	36	1	1	1	1	1	1	4	m129	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m07	male	7123	3971	2721	2564	3217	32	1	1	1	1	1	1	4	m130	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m08	male	7229	3855	2439	2388	3281	31	1	1	2	1	1	1	4	m131	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m09	male	7396	4119	2596	2661	3268	30	1	1	1	1	1	1	4	m132	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m10	male	7660	3721	2680	2458	3198	36	1	1	1	1	1	1	4	m133	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m11	male	7044	3892	2735	2546	3036	34	1	1	1	1	1	1	4	m134	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m12	male	7220	3772	2647	2416	3087	29	1	1	2	1	1	2	4	m135	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m13	male	7317	4119	2911	2869	3235	32	1	1	2	1	1	1	4	m136	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m14	male	6841	3962	2763	2703	3152	35	1	1	0	1	1	1	4	m137	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m15	male	7294	4054	2754	2416	3166	32	1	1	2	1	1	1	4	m138	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
004m16	male	7873	4193	2920	2893	3342	30	1	1	2	1	1	2	4	m139	Switzerland	Bern	"Route de Chasseral, Combes de Nods"	1154	47.11286416N 7.04331994E 	NMBE 30982	19/04/2011	Fabian Reichenbach
005f01	female	7766	3878	2638	2661	3351	32	1	1	2	1	1	1	5	f180	Switzerland	Bern	"Route de Chasseral, 1 km towards Nods"	1054	47.12018349N 7.07096815E	NMBE 30983	19/04/2011	Fabian Reichenbach
005f02	female	7937	3828	2671	2652	3230	30	1	1	1	1	1	1	5	f181	Switzerland	Bern	"Route de Chasseral, 1 km towards Nods"	1054	47.12018349N 7.07096815E	NMBE 30983	19/04/2011	Fabian Reichenbach
005f03	female	7451	3804	2522	2583	3249	31	0	1	0	1	1	0	5	f182	Switzerland	Bern	"Route de Chasseral, 1 km towards Nods"	1054	47.12018349N 7.07096815E	NMBE 30983	19/04/2011	Fabian Reichenbach
005f04	female	7725	3855	2712	2721	3193	30	1	1	1	1	1	1	5	f183	Switzerland	Bern	"Route de Chasseral, 1 km towards Nods"	1054	47.12018349N 7.07096815E	NMBE 30983	19/04/2011	Fabian Reichenbach
